name,author,language,price,ratings,stars,pages
Mindf**ked : When It’s 4 a.m. and You Can’t Stop Overthinking (Hinglish Edition),Anubhav Agrawal,English,12,1,5.0,240
Trading Chart Breakout Pattern & Candlestick Pattern Pocket Study,,English,2,172,4.2,92
UGC NET /SET/JRF Paper 1 Teaching and Research Aptitude - 2019- 2021 fully solved papers including Oct- Dec 2021 | Includes National Education Policy 2020| Sixth Edition| By Pearson,,English,16,253,4.4,650
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,English,2,"11,083",4.6,140
MODI@20: Dreams Meet Delivery Hardcover – 1 May 2022,,English,29,197,4.7,458
Price Action Trading : Technical Analysis Simplified!,,English,1,755,4.3,260
Target High 6th Premium Edition,,English,11,"1,437",4.5,0
UPSSSC PET Preliminary Exam Guide for Group C & Other Posts 2022 Hindi,Arihant Experts,Hindi,10,1,5.0,420
SSCE JE CIVIL ENGINEERING 2022 PREVIOUS YEAR TOPICWISE OBJECTIVE DETAILED SOLUTION WITH THEORY(2004-2020),,Middle,14,490,4.4,0
Basics of Stock Market | Complete Guide for Stock Beginners | Hindi Edition| Arvind Arora | A2Motivation,Arvind Arora,Hindi,₹199.00,8,3.2,198
UPSSSC PET Preliminary Exam Guide for Group C & Other Posts 2022,Arihant Experts,English,13,2,3.5,410
NTA CUET UG 2022 Section 3 General Test,Arihant Experts,English,23,40,4.0,314
NTA CUET UG English Book (Common University Entrance Test 2022),,English,2,10,4.9,216
The India Way : Strategies for an Uncertain World,S. Jaishankar,English,1,"1,439",4.5,248
Black Holes: The Reith Lectures,Stephen Hawking,English,10,"5,243",4.5,80
Relativity: The Special and the General Theory,Albert Einstein,English,6,"3,534",4.5,188
Physics Galaxy 2020-21 : Advanced Illustration in Physics,Ashish Arora,English,4,"1,138",4.6,448
Let Us C : Authentic guide to C programming language (18th Edition),,English,38,152,4.5,508
A Complete Next Centrix Approach FMGE Solutions 6ed,,English,30,375,4.6,350
Cracking the Coding Interview: 189 Programming Questions and Solutions,Gayle Laakmann McDowell,English,2,"6,918",4.4,708
Constitution of India Bare Act with Short Notes ( Handbook in English ) 2021,,English,25,"1,048",4.6,0
PLANE TRIGONOMETRY Part-1,S L Loney,English,2,"2,173",4.4,270
Essentials of Medical Pharmacology,K. D. Tripathi,English,9,"3,513",4.6,1080
20 Years Chapterwise Topicwise (2021-2002) JEE Main Solved Papers Mathematics,Arihant Experts,English,30,112,4.2,467
"Pharmacology for Medical Graduates, 4th Updated Edition",Smita Shenoy,English,8,"1,469",4.5,528
The psychology of money,Morgan Housel,English,12,"40,701",4.6,242
Ananda : Happiness Without Reason,Acharya Prashant,English,26,27,5.0,256
The Communist Manifesto,Karl Marx,English,3,"11,801",4.5,96
Clark's Tables - Science Data Book | First Edition | By Pearson,,English,1,448,4.4,104
Guide To Clat & LL.B. Entrance Examination 2022: Vol. 1,,English,34,460,4.3,1258
